DateTime,AddedIPs,RemovedIPs
1530641291,2,0
1530645009,0,1
1530648613,1,1
1530652094,1,2
1530655702,0,13
1530659308,12,2
1530662921,1,3
1530666496,0,2
1530670091,4,0
1530673714,4,0
1530677305,1,4
1530680905,3,0
1530684497,1,1
1530688102,1,1
1530691711,1,2
1530695290,1,2
1530698902,0,1
1530702493,1,2
1530706097,2,1
1530709702,2,9
1530713304,2,0
1530716912,4,0
1530720498,5,0
1530724105,0,5
1530727700,4,2
1530731307,1,0
1530734921,2,2
1530738508,1,1
1530742086,1,1
1530745712,0,3
1530749390,2,1
1530752904,1,2
1530756525,1,6
1530760124,8,0
1530763740,0,3
1530767312,1,3
1530770915,1,0
1530774511,2,8
1530778134,5,1
1530781716,5,1
1530785324,1,1
1530788910,2,1
1530792526,0,2
1530796114,2,0
1530799698,1,1
1530803309,0,2
1530806892,1,1
1530810506,0,2
1530814161,1,1
1530817780,3,0
1530821363,1,0
1530828564,0,1
1530832146,0,2
1530835740,1,2
1530839346,1,0
1530842951,2,1
1530846553,2,0
1530850141,1,1
1530853754,0,1
1530857356,1,2
1530860931,1,1
1530864544,2,1
1530868203,1,1
1530871753,1,1
1530875356,1,1
1530878941,1,1
1530882548,1,1
1530886151,1,0
1530889751,0,2
1530893340,1,0
1530896938,4,2
1530900557,2,1
1530904093,1,0
1530907931,0,1
1530911558,1,4
1530915192,1,0
1530918752,2,3
1530922461,3,0
1530925974,2,1
1530929559,0,2
1530933222,0,1
1530936756,1,11
1530940379,11,2
1530943967,0,1
1530947558,1,1
1530951187,3,4
1530954792,3,3
1530958338,2,1
1530961951,1,0
1530965561,0,1
1530969165,1,10
1530972749,11,1
1530976373,1,0
1530979965,2,1
1530983560,0,1
1530987165,1,1
1530990756,1,1
1530997962,0,1
1531001569,1,3
1531005153,1,0
1531008862,1,10
1531012432,7,1
1531016033,0,8
1531019552,3,2
1531023220,0,3
1531026814,4,5
1531030409,5,2
1531033975,5,2
1531037604,3,4
1531041231,5,3
1531044803,1,4
1531048436,1,2
1531052018,8,2
1531055646,4,8
1531059238,3,2
1531062824,3,1
1531066442,6,5
1531070034,10,1
1531073608,1,1
1531077238,1,6
1531080832,4,3
1531084417,1,10
1531088019,11,0
1531095483,0,1
1531098850,2,1
1531102392,1,5
1531106034,2,2
1531109652,1,4
1531113220,2,4
1531116849,1,1
1531120377,2,2
1531124041,2,0
1531127595,1,3
1531131228,3,0
1531134793,0,3
1531138448,1,9
1531142050,16,4
1531145657,6,1
1531149200,0,1
1531152834,1,1
1531156388,1,0
1531160042,1,1
1531163581,1,1
1531170845,2,10
1531174410,1,5
1531178050,0,1
1531181800,6,4
1531185225,5,5
1531188817,4,10
1531192399,12,9
1531196020,5,3
1531199611,7,1
1531203217,1,3
1531206830,4,7
1531210369,4,5
1531214019,1,8
1531217558,17,0
1531221226,0,2
1531224830,2,0
1531228417,2,1
1531232011,0,2
1531239212,0,1
1531242821,4,0
1531246134,2,0
1531249712,0,1
1531253325,0,1
1531256927,1,2
1531260506,2,1
1531264101,0,1
1531267720,1,1
1531271321,1,6
1531274897,0,3
1531278524,2,3
1531282118,6,1
1531285715,1,0
1531289302,0,2
1531292925,2,1
1531296507,0,2
1531300108,1,0
1531303697,2,0
1531307318,0,1
1531310920,0,1
1531314508,1,1
1531321737,3,1
1531325318,1,2
1531328911,1,1
1531332513,1,2
1531336135,1,0
1531343325,2,1
1531346897,0,1
1531350528,2,0
1531354126,0,2
1531357715,1,1
1531361312,1,1
1531364930,0,6
1531368486,3,3
1531372111,7,1
1531375710,1,0
1531379320,1,1
1531382921,0,1
1531390119,1,1
1531393709,1,0
1531397318,1,1
1531400901,1,2
1531404508,0,1
1531408105,1,0
1531411726,0,1
1531415315,2,1
1531418922,1,0
1531422500,0,3
1531426112,2,0
1531429715,3,5
1531433311,4,2
1531436905,0,1
1531440527,0,1
1531444096,3,0
1531447692,1,4
1531451314,3,2
1531454904,1,0
1531458514,1,1
1531462114,1,1
1531465711,0,1
1531469304,1,0
1531472898,0,1
1531476503,0,1
1531480105,2,0
1531483697,2,3
1531491230,2,2
1531498108,1,2
1531501708,3,1
1531505302,1,0
1531508920,1,2
1531512504,2,1
1531516126,2,3
1531519706,0,1
1531523319,0,1
1531526883,3,1
1531530516,1,1
1531534107,0,1
1531537703,2,2
1531541281,2,3
1531544891,3,2
1531548508,1,1
1531552095,2,1
1531555693,0,1
1531559300,2,2
1531562908,1,0
1531566496,1,1
1531570086,0,5
1531573689,4,2
1531577311,1,1
1531580885,2,1
1531588105,1,0
1531591683,2,1
1531595275,1,0
1531598882,0,2
1531602494,1,4
1531606085,4,1
1531609689,1,0
1531613285,1,1
1531616906,4,1
1531620473,1,9
1531624082,8,1
1531627694,1,2
1531631291,1,2
1531634902,1,2
1531638491,1,0
1531642097,1,2
1531645689,1,2
1531649281,2,1
1531652899,1,3
1531656493,1,0
1531660100,2,1
1531663669,1,6
1531667289,5,0
1531670899,0,5
1531674488,7,1
1531678093,1,1
1531681684,1,1
1531685296,3,2
1531688891,1,1
1531692496,1,1
1531696092,0,13
1531699724,11,4
1531703274,3,0
1531706875,3,1
1531710503,2,1
1531714076,0,1
1531717688,1,2
1531721280,1,0
1531724896,0,1
1531728473,1,1
1531732068,1,1
1531735685,0,2
1531739287,1,0
1531742870,3,1
1531746486,1,1
1531750079,0,2
1531757274,1,0
1531760882,1,0
1531764490,1,1
1531768083,2,1
1531771683,1,1
1531775290,0,1
1531778875,1,12
1531782496,9,1
1531786098,4,1
1531789685,3,0
1531793312,4,1
1531796886,3,3
1531800506,0,1
1531804153,1,2
1531807686,1,0
1531811290,0,1
1531814905,1,2
1531818483,2,2
1531822104,3,1
1531825686,2,1
1531829307,2,2
1531832885,1,3
1531836496,0,10
1531840074,10,3
1531843696,2,3
1531847292,1,1
1531850890,2,0
1531854468,1,1
1531858078,3,0
1531861666,1,3
1531865289,0,2
1531868881,1,0
1531872476,2,4
1531876108,2,2
1531879698,1,2
1531883295,2,1
1531886910,4,3
1531890511,6,0
1531894119,3,3
1531897688,2,3
1531901292,2,3
1531904899,1,2
1531908513,2,3
1531912095,2,1
1531915700,3,2
1531919305,2,3
1531922905,1,2
1531926507,2,3
1531930092,2,1
1531937301,2,0
1531940920,1,2
1531944490,1,3
1531948103,1,1
1531951685,2,2
1531955307,0,1
1531958932,1,2
1531962513,2,1
1531966090,2,0
1531969709,1,3
1531973307,4,2
1531976903,1,0
1531980494,1,4
1531984088,4,1
1531987704,0,2
1531991306,0,2
1531994900,2,2
1531998502,0,8
1532002114,4,4
1532005713,1,12
1532009296,20,1
1532012902,1,0
1532016500,1,2
1532020096,3,1
1532023710,1,2
1532027321,2,1
1532030901,0,4
1532038116,1,0
1532041695,1,2
1532045330,1,1
1532048917,3,2
1532052505,1,1
1532056111,3,0
1532059706,1,2
1532063303,1,3
1532066911,2,1
1532070488,2,4
1532074108,3,0
1532077721,1,2
1532081287,2,2
1532084912,1,3
1532088516,1,15
1532092107,15,2
1532095710,1,5
1532099284,6,1
1532102903,0,3
1532106510,3,0
1532110091,1,0
1532113708,3,10
1532117291,7,1
1532120895,1,2
1532124498,2,3
1532128115,3,0
1532135372,1,0
1532138884,2,1
1532142519,1,0
1532146101,0,2
1532149780,1,1
1532153332,1,2
1532156907,2,0
1532164101,1,1
1532171316,0,2
1532174908,2,0
1532178521,1,0
1532182122,1,0
1532185711,0,2
1532189296,0,2
1532192911,2,1
1532196512,1,1
1532200116,1,0
1532203702,2,1
1532207302,1,2
1532210911,0,1
1532214505,1,1
1532218112,2,1
1532221706,0,1
1532225306,3,1
1532228908,1,3
1532232492,1,3
1532236103,2,5
1532239695,3,3
1532243287,3,0
1532246894,2,1
1532250503,1,2
1532254086,0,1
1532261299,1,4
1532264901,2,12
1532268479,16,0
1532275702,1,2
1532279301,0,1
1532282896,4,1
1532290089,2,1
1532293677,0,1
1532297303,1,2
1532300911,0,5
1532304512,5,1
1532308073,2,1
1532311690,1,0
1532315267,1,2
1532318870,0,2
1532322483,1,0
1532326091,2,1
1532329688,2,1
1532333287,1,1
1532336898,2,2
1532340475,2,2
1532344092,2,2
1532347673,1,2
1532354873,0,2
1532358484,2,5
1532362082,2,1
1532365685,2,4
1532369277,8,0
1532372881,0,2
1532376476,2,2
1532380094,0,4
1532383667,3,1
1532387282,2,1
1532390869,1,1
1532394493,0,1
1532398085,3,2
1532401674,1,1
1532405264,1,5
1532408873,4,1
1532412482,2,1
1532416087,1,0
1532419677,2,2
1532423265,1,2
1532426891,2,1
1532430473,2,2
1532434089,1,1
1532437670,2,2
1532441276,1,1
1532444882,0,2
1532448485,1,2
1532452072,1,3
1532455686,6,0
1532459287,2,1
1532462960,1,4
1532466475,1,0
1532470083,1,12
1532473695,3,16
1532477290,18,3
1532480973,11,4
1532484564,2,1
1532488096,2,0
1532491712,2,2
1532495281,1,1
1532498906,1,2
1532502502,0,1
1532506088,2,1
1532509691,1,1
1532513288,2,2
