DateTime,AddedIPs,RemovedIPs
1530031941,2,4
1530033858,1,1
1530035788,1,0
1530041556,0,4
1530043461,0,7
1530045375,0,8
1530064890,2,0
1530074422,1,0
1530085944,0,1
1530091694,0,1
1530095547,0,1
1530097464,1,5
1530099395,0,4
1530101309,1,1
1530103399,0,2
1530105373,0,3
1530107315,0,3
1530111148,0,2
1530118899,0,2
1530120763,0,2
1530124835,1,0
1530128709,2,0
1530142091,1,0
1530149787,0,1
1530151697,1,1
1530153634,1,0
1530157485,1,0
1530159388,1,1
1530165136,1,0
1530182670,0,1
1530186765,0,1
1530211002,0,1
1530214824,0,2
1530222978,1,0
1530228749,0,1
1530237695,0,1
1530240650,1,1
1530242677,0,1
1530246520,0,1
1530250344,0,1
1530268104,1,0
1530277717,1,0
1530279636,1,0
1530308660,0,1
1530325964,0,1
1530354985,0,1
1530362898,0,1
1530375873,1,1
1530382581,2,0
1530386416,1,0
1530394353,1,0
1530400656,1,0
1530408649,1,0
1530418592,1,0
1530428188,1,0
1530430134,2,0
1530443558,2,0
1530445505,1,0
1530453879,2,0
1530460223,1,0
1530463937,0,1
1530467784,0,1
1530469703,0,1
1530473547,1,1
1530481216,0,1
1530486986,0,1
1530496593,0,1
1530498522,1,0
1530504509,0,1
1530508357,1,0
1530514106,1,0
1530516035,1,3
1530523707,1,0
1530528106,0,1
1530529960,0,1
1530531861,0,1
1530537625,0,1
1530539682,0,1
1530547479,0,1
1530558994,2,0
1530560901,0,1
1530571009,2,0
1530584661,1,1
1530593538,0,1
1530599297,0,1
1530601292,1,1
1530610820,1,1
1530617075,1,0
1530620903,2,0
1530624764,1,0
1530628830,1,0
1530634626,1,0
1530641302,1,0
1530643406,2,0
1530646043,0,2
1530654133,1,0
1530655957,0,1
1530657863,0,1
1530663874,1,0
1530671614,0,1
1530683314,1,0
1530685226,1,0
1530687139,3,1
1530690989,1,0
1530696763,0,1
1530698695,1,0
1530701372,1,0
1530703232,0,1
1530705147,1,0
1530707066,0,2
1530708987,3,0
1530710996,0,1
1530715874,0,1
1530721711,0,1
1530727905,1,1
1530729899,0,2
1530735629,1,0
1530741400,0,1
1530751005,0,1
1530752912,2,0
1530766579,1,0
1530768504,0,1
1530770505,0,1
1530772430,5,0
1530774298,3,3
1530776188,1,0
1530778124,1,1
1530785748,0,1
1530787732,1,1
1530791584,0,1
1530795699,0,3
1530797569,1,0
1530807198,2,0
1530814834,0,1
1530822766,1,1
1530833267,2,0
1530839083,0,2
1530842915,1,0
1530846776,1,0
1530852511,0,1
1530856384,2,0
1530860200,0,5
1530862129,1,4
1530864101,0,1
1530874124,0,1
1530876044,1,0
1530879890,1,0
1530881797,1,0
1530884591,0,1
1530888928,2,0
1530890914,3,0
1530892916,0,2
1530902442,2,0
1530906309,1,0
1530910110,1,1
1530912061,1,0
1530913954,1,0
1530915882,2,0
1530917801,0,1
1530919730,0,1
