DateTime,AddedIPs,RemovedIPs
1528995621,1,0
1529060121,0,1
1529066122,1,0
1529097021,1,0
1529106927,1,0
1529136027,1,0
1529160620,1,0
1529163627,1,0
1529185524,2,0
1529195421,1,0
1529205029,1,0
1529230221,0,1
1529244926,1,0
1529258421,1,0
1529261426,32,0
1529262926,1,0
1529277322,1,0
1529278222,2,0
1529278520,1,0
1529290822,1,0
1529324421,1,0
1529335521,1,0
1529374527,3,0
1529405724,1,0
1529417122,1,0
1529417727,1,0
1529427622,2,0
1529436322,0,1
1529445021,1,0
1529460326,0,4
1529460625,0,3
1529483125,1,0
1529503221,1,0
1529517022,1,0
1529539223,1,0
1529589621,1,0
1529593225,0,1
1529593524,0,9
1529594124,0,2
1529594723,0,1
1529595627,1,0
1529599828,2,0
1529600424,1,0
1529645134,2,0
1529659527,1,0
1529682024,0,1
1529682624,0,1
1529688925,1,0
1529705121,0,1
1529767823,1,0
1529768426,1,0
1529785224,3,0
1529785822,2,0
1529786725,1,0
1529787624,1,0
1529788227,3,0
1529921127,1,0
1530109825,1,0
1530116121,1,0
1530130825,1,0
1530132623,0,1
1530185124,0,1
1530243622,1,0
1530276924,16,0
1530277522,229,0
1530278122,69,0
1530279025,103,0
1530279624,7,0
1530282626,11,0
1530283828,1,9
1530864329,16,11
1530884425,1,0
1530886524,1,0
1530898224,1,0
1530900927,1,0
1530915624,0,1
1530916526,0,2
1530925224,1,0
1530925825,1,0
1530936024,2,0
1530947127,1,0
1530964223,1,0
1530974426,1,0
1530993323,0,1
1531000827,1,0
1531003224,1,0
1531009227,2,0
1531010126,3,0
1531024825,0,1
1531038626,29,0
1531038925,34,0
1531044026,1,0
1531046127,1,0
1531050326,1,0
1531065022,24,0
1531075829,1,0
1531090822,1,0
1531102525,1,0
1531102824,1,0
1531130728,1,0
1531158024,0,1
1531179630,1,0
1531204225,0,1
1531204825,0,1
1531209626,1,0
1531214125,0,1
1531216222,1,0
1531216822,1,0
1531217421,45,0
1531218025,1,0
1531218624,2,0
1531220424,1,0
1531224322,2,0
1531224622,1,0
1531225224,2,0
1531226122,2,0
1531231827,1,0
1531232424,0,1
1531234823,1,0
1531236323,0,1
1531237227,1,0
1531238727,0,2
1531251923,0,1
1531302926,1,0
1531304422,1,0
1531306823,1,0
1531307427,1,0
1531314326,1,0
1531314624,1,0
1531323629,0,1
1531327223,3,0
1531350021,125,0
1531350327,292,0
1531350924,380,0
1531352123,214,0
1531352427,312,0
1531352723,303,0
1531353024,293,0
1531353327,190,0
1531353628,1,0
1531354223,2,0
1531365330,4,0
1531367723,4,0
1531368023,2,0
1531371623,20,0
1531372223,1,0
1531373721,36,0
1531374022,19,0
1531374322,15,0
1531379424,8,0
1531392621,1,0
1531393521,99,0
1531394124,136,0
1531395022,21,0
1531395622,236,0
1531395925,11,0
1531396524,5,0
1531414822,4,0
1531415123,1,0
1531415420,2,0
1531416925,8,0
1531417223,6,0
1531417822,8,0
1531418426,1,0
1531429228,1,0
1531437923,1,0
1531438531,1,0
1531438829,10,0
1531439128,13,0
1531439424,1,0
1531440028,1,0
1531441532,4,0
1531454731,7,0
1531455031,9,0
1531455627,2,0
1531461625,1,0
1531472723,2,0
1531473028,1,0
1531473628,1,0
1531473925,3,0
1531474227,5,0
1531474525,2,0
1531474824,1,0
1531475427,1,0
1531476027,4,0
1531476326,4,0
1531476925,2,0
1531486524,50,0
1531486828,55,0
1531487426,44,0
1531488030,2,0
1531488926,0,1
1531495226,1,0
1531495527,2,0
1531496127,7,0
1531497624,2,0
1531497927,13,1
1531498525,2,0
1531500024,1,0
1531500327,1,0
1531501525,1,0
1531502125,1,1
1531504222,10,0
1531504523,2,0
1531508426,4,0
1531508727,1,0
1531510527,3,0
1531510827,2,0
1531511427,5,0
1531511728,1,0
1531512029,1,0
1531512325,3,0
1531513230,1,0
1531513831,1,0
1531514128,1,0
1531514428,1,0
1531515627,1,0
1531516227,5,0
1531516828,1,0
1531517727,1,0
1531522822,2,0
1531523723,1,0
