DateTime,Entries,UniqueIPs
1530716915,4799,4799
1530720522,4843,4843
1530724126,4888,4888
1530727730,4941,4941
1530731332,4951,4951
1530734932,4966,4966
1530738532,4971,4971
1530742135,4974,4974
1530745735,4968,4968
1530749335,4984,4984
1530752933,4979,4979
1530756531,4956,4956
1530760133,4932,4932
1530763729,4931,4931
1530767324,4950,4950
1530770923,4942,4942
1530774524,4933,4933
1530778121,4930,4930
1530781725,4923,4923
1530785322,4924,4924
1530788920,4910,4910
1530792526,4926,4926
1530796126,4917,4917
1530799728,4892,4892
1530803324,4883,4883
1530806926,4876,4876
1530810526,4878,4878
1530814142,4893,4893
1530817742,4874,4874
1530821342,4891,4891
1530824944,4874,4874
1530828546,4872,4872
1530832142,4883,4883
1530835744,4889,4889
1530839357,4901,4901
1530842943,4882,4882
1530846541,4881,4881
1530850137,4884,4884
1530853749,4891,4891
1530857346,4897,4897
1530860951,4876,4876
1530864550,4884,4884
1530868150,4883,4883
1530871752,4862,4862
1530875352,4847,4847
1530878946,4840,4840
1530882548,4875,4875
1530886145,4861,4861
1530889728,4852,4852
1530893344,4862,4862
1530896943,4898,4898
1530900549,4900,4900
1530904160,4909,4909
1530907747,4927,4927
1530911348,4925,4925
1530914947,4918,4918
1530918545,4923,4923
1530922149,4910,4910
1530925748,4933,4933
1530929367,4924,4924
1530932946,4922,4922
1530936546,4919,4919
1530940157,4931,4931
1530943757,4930,4930
1530947358,4929,4929
1530950956,4931,4931
1530954554,4918,4918
1530958155,4903,4903
1530961754,4894,4894
1530965352,4866,4866
1530968950,4897,4897
1530972550,4861,4861
1530976117,4833,4833
1530979743,4843,4843
1530983343,4850,4850
1530986947,4861,4861
1530990548,4865,4865
1530994147,4842,4842
1530997746,4858,4858
1531001346,4851,4851
1531004943,4834,4834
1531008545,4823,4823
1531012141,4822,4822
1531015744,4835,4835
1531019342,4808,4808
1531022939,4808,4808
1531026555,4820,4820
1531030150,4827,4827
1531033751,4829,4829
1531037350,4824,4824
1531040953,4813,4813
1531044552,4811,4811
1531048154,4798,4798
1531051746,4780,4780
1531055342,4784,4784
1531058942,4796,4796
1531062522,4788,4788
1531066141,4795,4795
1531069739,4786,4786
1531073340,4805,4805
1531076975,4810,4810
1531080540,4802,4802
1531084146,4793,4793
1531087741,4792,4792
1531091340,4768,4768
1531094943,4767,4767
1531098539,4752,4752
1531102143,4776,4776
1531105739,4773,4773
1531109337,4764,4764
1531112943,4753,4753
1531116552,4760,4760
1531120150,4761,4761
1531123754,4769,4769
1531127353,4776,4776
1531130949,4778,4778
1531134517,4754,4754
1531138139,4757,4757
1531141742,4741,4741
1531145339,4766,4766
1531148918,4762,4762
1531152543,4740,4740
1531156146,4746,4746
1531159741,4739,4739
1531163339,4734,4734
1531166943,4727,4727
1531170537,4707,4707
1531174140,4722,4722
1531177742,4705,4705
1531181345,4680,4680
1531184937,4664,4664
1531188536,4663,4663
1531192135,4660,4660
1531195737,4625,4625
1531199331,4617,4617
1531202927,4613,4613
1531206528,4609,4609
1531210127,4604,4604
1531213732,4595,4595
1531217330,4602,4602
1531220920,4603,4603
1531224522,4621,4621
1531228120,4627,4627
1531231723,4642,4642
1531235317,4656,4656
1531238927,4643,4643
1531242526,4655,4655
1531246127,4662,4662
1531249728,4660,4660
1531253326,4658,4658
1531256926,4658,4658
1531260526,4670,4670
1531264128,4663,4663
1531267727,4644,4644
1531271324,4639,4639
1531274923,4634,4634
1531278526,4655,4655
1531282127,4668,4668
1531285750,4642,4642
1531289350,4643,4643
1531292954,4642,4642
1531296550,4635,4635
1531300152,4632,4632
1531303751,4644,4644
1531307309,4639,4639
1531310912,4611,4611
1531314511,4602,4602
1531318113,4609,4609
1531321712,4632,4632
1531325327,4587,4587
1531328921,4575,4575
1531332524,4574,4574
1531336121,4560,4560
1531339723,4557,4557
1531343328,4542,4542
1531346932,4551,4551
1531350522,4541,4541
1531354121,4520,4520
1531357720,4511,4511
1531361354,4508,4508
1531364919,4527,4527
1531368512,4516,4516
1531372125,4501,4501
1531375726,4486,4486
1531379327,4476,4476
1531382920,4467,4467
1531386527,4461,4461
1531390125,4466,4466
1531393720,4510,4510
1531397319,4485,4485
1531400920,4480,4480
1531404520,4482,4482
1531408105,4507,4507
1531411720,4511,4511
1531415320,4509,4509
1531418925,4491,4491
1531422523,4492,4492
1531426119,4478,4478
1531429723,4474,4474
1531433318,4490,4490
1531436918,4474,4474
1531440520,4457,4457
1531444121,4426,4426
1531447713,4423,4423
1531451322,4433,4433
1531454916,4429,4429
1531458528,4442,4442
1531462106,4444,4444
1531465702,4447,4447
1531469299,4437,4437
1531472901,4436,4436
1531476503,4457,4457
1531480107,4493,4493
1531483713,4550,4550
1531487308,4554,4554
1531490909,4549,4549
1531494506,4537,4537
1531498136,4554,4554
1531501731,4516,4516
1531505334,4534,4534
1531508937,4536,4536
1531512528,4510,4510
1531516130,4508,4508
1531519737,4517,4517
1531523348,4523,4523
1531526939,4517,4517
1531530525,4481,4481
1531534125,4464,4464
1531537733,4451,4451
1531541301,4461,4461
1531544927,4442,4442
1531548512,4440,4440
1531552108,4433,4433
1531555700,4414,4414
1531559315,4409,4409
1531562898,4410,4410
1531566503,4419,4419
1531570100,4423,4423
1531573697,4375,4375
1531577300,4361,4361
1531580894,4354,4354
1531584509,4357,4357
1531588109,4357,4357
1531591709,4349,4349
1531595312,4349,4349
1531598914,4355,4355
1531602517,4334,4334
1531606115,4338,4338
1531609711,4359,4359
1531613311,4361,4361
1531616919,4340,4340
1531620509,4308,4308
1531624107,4300,4300
1531627698,4313,4313
1531631317,4301,4301
1531634917,4293,4293
1531638520,4286,4286
1531642120,4292,4292
1531645710,4294,4294
1531649318,4316,4316
1531652919,4344,4344
1531656513,4379,4379
1531660113,4375,4375
1531663710,4362,4362
1531667297,4365,4365
1531670915,4385,4385
1531674514,4392,4392
1531678114,4385,4385
1531681709,4394,4394
1531685314,4411,4411
1531688915,4405,4405
1531692511,4411,4411
1531696118,4424,4424
1531699715,4438,4438
1531703318,4441,4441
1531706911,4414,4414
1531710511,4412,4412
1531714103,4404,4404
1531717727,4426,4426
1531721309,4414,4414
1531724903,4424,4424
1531728503,4422,4422
1531732102,4415,4415
1531735704,4423,4423
1531739307,4432,4432
1531742905,4466,4466
1531746504,4469,4469
1531750102,4438,4438
1531753829,4433,4433
1531757315,4440,4440
1531760922,4449,4449
1531764526,4468,4468
1531768126,4492,4492
1531771721,4503,4503
1531775326,4514,4514
1531778921,4507,4507
1531782528,4515,4515
1531786131,4538,4538
1531789748,4535,4535
1531793308,4525,4525
1531796906,4508,4508
1531800507,4504,4504
1531804128,4517,4517
1531807726,4508,4508
1531811328,4504,4504
1531814925,4506,4506
1531818527,4510,4510
1531822126,4495,4495
1531825724,4491,4491
1531829304,4487,4487
1531832922,4507,4507
1531836518,4489,4489
1531840099,4471,4471
1531843718,4467,4467
1531847319,4477,4477
1531850918,4472,4472
1531854519,4456,4456
1531858117,4458,4458
1531861717,4449,4449
1531865319,4440,4440
1531868919,4440,4440
1531872514,4449,4449
1531876115,4460,4460
1531879719,4448,4448
1531883316,4421,4421
1531886909,4370,4370
1531890515,4359,4359
1531894114,4374,4374
1531897717,4363,4363
1531901314,4372,4372
1531904916,4374,4374
1531908513,4353,4353
1531912098,4353,4353
1531915699,4359,4359
1531919300,4372,4372
1531922900,4365,4365
1531926493,4342,4342
1531930108,4332,4332
1531933710,4346,4346
1531937312,4399,4399
1531940917,4402,4402
1531944519,4419,4419
1531948113,4413,4413
1531951709,4406,4406
1531955315,4427,4427
1531958915,4444,4444
1531962518,4464,4464
1531966115,4467,4467
1531969709,4455,4455
1531973314,4452,4452
1531976933,4437,4437
1531980539,4450,4450
1531984133,4437,4437
1531987737,4448,4448
1531991336,4436,4436
1531994940,4435,4435
1531998494,4380,4380
1532002104,4393,4393
1532005705,4412,4412
1532009320,4410,4410
1532012893,4377,4377
1532016496,4376,4376
1532020096,4362,4362
1532023695,4383,4383
1532027295,4363,4363
1532030896,4368,4368
1532034496,4391,4391
1532038095,4370,4370
1532041697,4372,4372
1532045295,4378,4378
1532048897,4398,4398
1532052495,4399,4399
1532056097,4373,4373
1532059694,4370,4370
1532063370,4337,4337
1532066932,4349,4349
1532070589,4347,4347
1532074199,4343,4343
1532077803,4354,4354
1532081406,4341,4341
1532085005,4337,4337
1532088694,4337,4337
1532092101,4346,4346
1532095757,4353,4353
1532099360,4338,4338
1532102978,4315,4315
1532106584,4319,4319
1532110184,4310,4310
1532113777,4337,4337
1532117340,4343,4343
1532120971,4358,4358
1532124579,4350,4350
1532128185,4348,4348
1532131784,4347,4347
1532135399,4344,4344
1532139020,4364,4364
1532142511,4351,4351
1532146109,4323,4323
1532149779,4317,4317
1532153391,4312,4312
1532157004,4326,4326
1532160592,4309,4309
1532164166,4315,4315
1532167767,4314,4314
1532171358,4313,4313
1532174892,4309,4309
1532178547,4320,4320
1532182153,4337,4337
1532185742,4330,4330
1532189345,4293,4293
1532192947,4294,4294
1532196548,4275,4275
1532200146,4319,4319
1532203751,4314,4314
1532207361,4342,4342
1532210948,4335,4335
1532214547,4319,4319
1532218149,4324,4324
1532221752,4342,4342
1532225363,4357,4357
1532228964,4374,4374
1532232521,4341,4341
1532236180,4337,4337
1532239779,4326,4326
1532243314,4349,4349
1532246987,4341,4341
1532250587,4332,4332
1532254186,4331,4331
1532257771,4312,4312
1532261343,4295,4295
1532264944,4301,4301
1532268545,4302,4302
1532272143,4310,4310
1532275760,4277,4277
1532279347,4294,4294
1532282947,4283,4283
1532286552,4263,4263
1532290156,4242,4242
1532293750,4227,4227
1532297396,4244,4244
1532300957,4224,4224
1532304560,4208,4208
1532308171,4208,4208
1532311779,4210,4210
1532315357,4213,4213
1532318888,4203,4203
1532322541,4176,4176
1532326145,4178,4178
1532329744,4165,4165
1532333352,4145,4145
1532336954,4115,4115
1532340558,4106,4106
1532344154,4111,4111
1532347755,4068,4068
1532351362,4089,4089
1532354970,4109,4109
1532358572,4156,4156
1532362171,4158,4158
1532365755,4156,4156
1532369361,4182,4182
1532372905,4175,4175
1532376598,4170,4170
1532380213,4157,4157
1532383827,4166,4166
1532387316,4185,4185
1532390910,4164,4164
1532394489,4174,4174
1532398088,4176,4176
1532401692,4194,4194
1532405411,4181,4181
1532408924,4162,4162
1532412526,4175,4175
1532416127,4169,4169
1532419729,4154,4154
1532423327,4133,4133
1532426926,4125,4125
1532430519,4142,4142
1532434119,4130,4130
1532437685,4114,4114
1532441288,4123,4123
1532444883,4130,4130
1532448487,4136,4136
1532452105,4123,4123
1532455784,4138,4138
1532459285,4142,4142
1532462891,4125,4125
1532466490,4125,4125
1532470086,4115,4115
1532473686,4155,4155
1532477289,4145,4145
1532480890,4130,4130
1532484487,4133,4133
1532488088,4140,4140
1532491686,4155,4155
1532495286,4149,4149
1532498933,4145,4145
1532502564,4153,4153
1532506171,4138,4138
1532509778,4132,4132
1532513377,4118,4118
