DateTime,AddedIPs,RemovedIPs
1511708416,0,2
1511727616,23,0
1511728216,8,0
1511746816,0,1
1511751615,0,1
1511761816,0,1
1511773515,0,1
1511784914,0,1
1511797816,0,1
1511863816,0,1
1511864416,0,1
1511896217,1,0
1511901616,1,0
1511908816,1,0
1511913015,12,0
1511914217,3,0
1511914816,3,0
1511917218,7,0
1511921716,7,0
1511926216,6,0
1511926516,1,0
1511929215,9,0
1511929527,2,0
1511929817,1,0
1511932216,6,0
1511932515,1,0
1511933125,2,0
1511935815,13,0
1511937615,6,0
1511961616,1,0
1511986816,0,1
1511993715,1,0
1512002415,7,0
1512031515,0,1
1512048617,0,1
1512069315,41,0
1512069616,15,0
1512073526,4,0
1512075916,7,0
1512076820,3,0
1512077716,2,0
1512099616,2,0
1512101716,2,0
1512102915,1,0
1512107415,1,0
1512124815,0,2
1512130815,0,6
1512131116,0,2
1512131715,0,1
1512298215,1,0
1512337516,13,0
1512376816,0,2
1512393317,1,0
1512402915,0,1
1512463216,0,1
1512561616,1,0
1512602731,1,3
1512678915,0,1
1512722417,12,0
1512819615,2,0
1512845715,1,0
1512928815,0,1
1512933315,4,0
1512933917,2,0
1512934515,1,0
1512937521,0,1
1512960315,1,0
1512995715,1,0
1513077016,0,1
1513154716,46,0
1513169115,0,1
1513201815,1,0
1513309817,1,0
1513326915,32,0
1513327216,130,0
1513352416,0,1
1513415117,1,0
1513436716,1,0
1513491615,1,0
1513508416,0,1
1513508717,3,0
1513509315,1,0
1513509919,63,0
1513510515,1413,0
1513511115,693,0
1513511714,1,0
1513512015,1,0
1513530016,0,1
1513539316,0,1
1513550415,3,0
1513560016,2,0
1513560915,7,0
1513561516,11,0
1513562115,27,0
1513562415,7,0
1513563929,27,0
1513578330,0,1
1513585217,133,0
1513705816,0,2
1513706416,1,0
1513756217,0,2
1513843816,1,0
1513895416,1,0
1513924216,0,1
1514008514,1,0
1514011815,1,0
1514038215,0,1
1514104216,0,1
1514145015,0,1
1514149517,0,1
1514197216,1,0
1514298017,12,0
1514307016,1,0
1514307616,7,0
1514394016,3,0
1514394316,5,0
1514394916,22,0
1514401217,0,1
1514465415,1,0
1514660417,1,0
1514667920,0,1
1514674215,0,2
1514805916,2,0
1514806221,2,0
1514811015,1,0
1514828416,0,1
1514831417,1,0
1514833817,1,0
1514880616,0,2
1514987116,0,1
1515054016,0,1
1515085516,1,0
1515086417,1,0
1515092715,1,0
1515127816,1,0
1515144016,1,0
1515155416,2,0
1515157517,1,0
1515286516,0,1
1515298815,1,0
1515316816,1,0
1515322517,4,0
1515348315,1,0
1515393315,1,0
1515471016,2,0
1515492316,1,0
1515522016,1,0
1515525015,1,0
1515613216,1,0
1515618022,1,0
1515663616,0,1
1515674417,0,1
1515693315,1,0
1515716116,1,0
1515716716,1,0
1515755716,1,0
1515757816,1,0
1515765015,1,0
1515766816,1,0
1515831616,1,0
1515833416,1,0
1515837617,1,0
1515838215,2,0
1515838816,1,0
1515840316,0,1
1515893716,1,0
1515915016,1,0
1515952817,1,0
1515954322,1,0
1515954915,1,0
1515967815,1,0
1516010716,1,0
1516035915,1,0
1516091118,1,0
1516092016,1,0
1516092616,1,0
1516093217,1,0
1516099516,1,0
1516129516,1,0
1516178115,0,2
1516198515,2,0
1516273216,1,0
1516274716,1,0
1516283717,0,1
1516351815,0,1
1516367116,1,0
1516369515,0,1
1516421115,1,0
1516446915,0,1
1516459815,1,0
1516530616,1,0
1516535415,1,0
1516549816,1,0
1516550115,1,0
1516563320,1,0
1516570514,1,0
1516582515,1,0
1516603216,0,1
1516621816,39,0
1516648816,1,0
1516651216,1,0
1516697415,0,1
1516697716,0,1
1516810816,2,0
1516997715,1,0
1517037928,4,0
1517038217,5,0
1517061915,2,0
1517071815,1,0
1517132417,0,1
1517329815,1,0
1517343316,1,0
1517385619,0,1
1517396116,1,0
1517396418,1,0
1517400017,1,0
1517404218,3,0
1517455816,0,1
1517493617,1,0
1517516116,1,0
1517517314,1,0
1517519715,0,1
1517574321,1,0
1517691616,0,1
1517781617,1,0
1517781916,1,0
1517786416,1,0
1517788817,2,0
1517790616,1,0
1517794215,1,0
1517795114,1,0
1517796914,1,0
1517818216,14,0
1517839516,0,1
1517842515,2,0
1517842818,1,0
1517844016,2,0
1517844616,1,0
1517854516,1,0
1517908216,0,1
1517920816,1,0
1517964016,1,0
1517991316,0,1
1517993416,0,1
1518078916,0,1
1518202216,4,0
1518202515,1,0
1518202816,5,0
1518207915,1,0
1518209116,0,1
1518234016,1,0
1518268816,0,1
1518279318,1,0
1518344116,1,0
1518381616,1,0
1518446716,2,0
1518463218,0,1
1518515716,0,1
1518516316,0,1
1518547516,1,0
1518598215,1,0
1518638418,1,0
1518711016,0,1
1518770115,0,1
1518816317,0,1
1518939916,0,1
1518947716,0,1
1518967815,0,1
1519034716,3,0
1519134016,0,1
1519287616,0,1
1519291215,0,1
1519294216,0,2
1519294517,0,1
1519301118,0,1
1519395316,0,1
1519416915,1,0
1519482618,0,1
1519564516,5,0
1519564819,1,0
1519565116,1,0
1519659918,0,1
1519660217,0,1
1519667116,3,0
1519668915,1,0
1519675219,0,1
1519720817,0,1
1519723216,0,1
1519737617,1,0
1519756822,0,1
1519831216,1,0
1519832123,4,0
1519832417,1,0
1519934717,1,0
1519935022,1,0
1519995315,1,0
1520043016,0,1
1520319916,0,1
1520323517,3,0
1520403927,0,1
1520436917,2,0
1520506217,0,1
1520513717,0,1
1520547617,1,0
1520597416,0,1
1520635515,0,1
1520635817,0,1
1520703016,1,0
1520761216,0,1
1520774716,1,0
1520799317,1,0
1520814916,0,1
1520881217,1,0
1521094516,1,0
1521139816,0,1
1521147015,1,0
1521198317,0,1
1521198916,0,1
1521203116,1,0
1521309016,0,1
1521328217,0,1
1521384616,1,0
1521420316,1,0
1521420617,4,0
1521420917,2,0
1521423616,1,0
1521679817,1,0
1521831916,1,0
1522013116,1,0
1522054820,0,1
1522258516,2,0
1522318217,0,1
1522329617,3,0
1522347316,1,0
1522353316,1,0
1522406417,1,0
1522425017,1,0
1522502417,1,0
1522552817,4,0
1522593617,2,0
1522594217,0,1
1522598116,1,0
1522607417,1,0
1522609217,1,0
1522658116,2,0
1522658417,4,0
1522714216,1,0
1522758616,1,0
1522786818,1,0
1522958716,1,0
1523258416,1,0
1523303417,0,1
1523307317,1,0
1523367017,9,0
1523430916,0,1
1523577918,1,0
1523637016,0,1
1523733316,1,0
1523741418,1,0
1523823316,1,0
1523827516,1,0
1523829018,1,0
1523950218,1,0
1524015316,1,0
1524035416,1,1
1524035716,2,0
1524058219,0,1
1524093917,0,0
1524097216,0,0
1524099316,492,0
1524123316,3,0
1524124218,0,0
1524220818,10,0
1524221118,0,1
1524226818,0,1
1524291316,1,0
1524292218,0,1
1524297017,1,0
1524306917,1,0
1524342018,4,0
1524342617,2,0
1524343218,2,0
1524379816,1,0
1524400817,1,0
1524408617,1,0
1524490818,0,1
1524579917,0,1
1524685817,1,0
1524749116,0,1
1524887117,2,0
1524907817,0,1
1524963617,1,0
1525007117,1,0
1525046717,1,0
1525372821,0,1
1525542017,0,1
1526022019,1,0
1526022316,1,0
1526024417,0,1
1526069117,121,0
1526105718,2,0
1526106018,139,0
1526106322,17,0
1526106918,148,1
1526176821,1,0
1526197219,0,1
1526309719,0,0
1526327118,0,2
1526372720,0,3
1526373319,0,1
1526455819,0,1
1526541019,0,1
1526626219,0,1
1526728518,0,1
1526738717,0,1
1526899217,0,1
1526921418,1,0
1526925618,0,50174
1527008411,0,1
1527142510,0,3
1527146711,1,0
1527163809,0,1
1527313810,0,0
1527315310,0,0
1527345312,0,0
1527347413,0,0
1527350722,0,0
1527371112,0,0
1527392114,0,0
1527400211,0,0
1527490510,4,0
1527491110,18,0
1527491409,2,0
1527839710,0,1
1527992713,0,0
1528004710,0,0
1528101611,1,0
1528187710,1,0
1528274410,0,1
1528308012,0,0
1528311910,0,0
1528313411,0,0
1528320310,0,0
1528324221,0,0
1528326621,0,0
1528331723,0,0
1528333221,0,0
1529179523,0,1
1529330122,1,0
1529347221,1,0
1529444722,0,1
1529536222,1,0
1529573421,1,0
1529654128,1,0
1529939722,1,0
1530048922,1,0
1530118826,1,0
1530871225,0,1
1530908121,1,0
1530915624,43,0
1531181728,1,0
1531223128,1,0
1531293623,0,1
1531306823,1,0
1531492824,0,1
1531556425,1,0
1531632025,0,1
1531725623,0,2
1531728025,0,2
1531728629,0,2
1531729224,0,1
1531739125,1,0
1531750828,1,0
1531813825,1,0
1531814124,1,0
1531834221,1,0
1532071525,1,0
1532071827,2,0
1532086523,1,0
1532096425,2,0
1532097028,3,0
1532097629,1,0
1532168124,1,0
1532252430,1,0
1532252725,1,0
1532282425,43,0
1532289323,1,0
1532456125,1,0
1532462128,8,0
1532466026,1,0
1532469022,1,0
1532471123,37,0
1532471724,56,0
1532472322,10,0
1532474120,80,0
1532474420,29,0
1532475321,7,0
1532511326,33,0
1532511622,445,0
1532511923,268,0
